STATION,STATION_NAME,DATE,HPCP
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730404 06:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730404 07:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730408 07:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730408 08:00,0.03
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730408 09:00,0.03
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730408 10:00,0.03
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730408 11:00,0.03
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730408 12:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730408 13:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730408 14:00,0.03
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730408 15:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730408 16:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730408 17:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730408 18:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730408 19:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730408 20:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730408 21:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730408 23:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730409 00:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730409 01:00,0.03
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730409 02:00,0.04
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730409 03:00,0.05
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730409 04:00,0.04
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730409 05:00,0.06
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730409 06:00,0.07
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730409 07:00,0.05
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730409 08:00,0.08
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730409 09:00,0.10
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730409 10:00,0.10
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730409 11:00,0.07
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730409 12:00,0.05
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730409 13:00,0.03
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730409 14:00,0.03
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730409 15:00,0.05
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730409 16:00,0.05
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730409 17:00,0.04
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730409 18:00,0.03
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730409 19:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730409 20:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730409 21:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730409 22:00,0.01
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730415 10:00,0.02
COOP:132203,DES MOINES INTERNATIONAL AIRPORT IA US,19730415 11:00,0.02
